user_id,category,real_preference,total_tweets,real_tweets,fake_tweets,tweet_ids
user_16,light,0.21576274788139735,4,0,4,1034295856479064065	925025098947375104	1037234742557466624	830963818855596032
user_17,light,0.7906634904387172,2,1,1,906390916935684096	1052385293867847681
user_18,light,0.13252890310442905,9,1,8,978056684814917632	1028219356373630976	1036809140629381120	1037089827840303106	1036572031322451968	950380192274567168	774207185907703808	944406150283513856	1060288345295777793
user_19,light,0.19713494502306506,2,0,2,1036317691752210432	553265070528937984
user_20,light,0.6130423745252765,1,0,1,1029309399288803328
user_21,moderate,0.8032673597223343,13,10,3,998340836248248320	875563833414135808	32154423492870144	1019620058782412802	915240203933102081	1008348552869957632	1012358427480338437	1022044481909088257	1054107041508126720	916458247824998401	1027934182306205696	1014576693443522562	1012441007156269058
user_22,light,0.9466653922804374,6,5,1,967070418631823365	965788696036478977	976529880140656641	775526275209310212	870704900262338560	1035180611156279296
user_23,light,0.8640880078878935,7,6,1,1042088688753172480	1030900663914512384	854320953089589253	1012286679992823809	854856915804758016	380132597717692416	1036868990000193536
user_24,light,0.8468496433779773,1,0,1,982218888329887744
user_25,light,0.7462075158397697,4,2,2,856175190740434947	923294691101106176	947222772471668736	895087456629829632
user_26,light,0.13107100956095116,8,1,7,853438072481955840	831201801248579584	256396224238874625	107127551801036800	942592707444248577	851597692430102528	1034553673093992450	1021457246314692610
user_27,light,0.7378194784147469,1,0,1,835586582040178689
user_28,light,0.8654183999920715,9,7,2,1022247213731393537	1013561147772080129	933194702286880768	860230366560370688	986574561045966848	960232398259654656	867030547033403392	851535780115869700	1034992336865046528
user_29,light,0.7865669258706431,4,3,1,915057185238994944	854416703509409792	887153612950056960	1035497874971406339
user_30,light,0.7963635780090346,6,4,2,944704764545249280	683424940394086400	998573707659501569	1056577340224921601	1049280607619092482	674066270766149633
user_31,light,0.667344368445818,4,2,2,1002266596801474560	1018597768447705088	1037516998756917249	880927225121525761
user_32,moderate,0.310325995358579,15,4,11,952321985694109696	1013735234284785665	796484944319180804	1017228778223886336	1064877150174674950	938942650559770624	959139758600531970	938413909085773824	977042787194548224	245377379734798336	1003690793415204864	877237781805780992	918111850310619136	978319636428218368	1044364200640999425
user_33,light,0.848142690360299,7,5,2,885605620619018242	920529025696747520	594043681058881536	893613584516878337	894172474753122304	1020839747491594240	865006858989326337
user_34,light,0.05,2,0,2,819078284713529344	1049118065525288961
user_35,moderate,0.6742273799994054,11,7,4,258000123005652992	378584658012688385	1016503832950558725	893153827666481152	1006940674388717569	1074144189892431873	974130772637396992	1046892813584125953	1005594139067666434	1036583010504769536	859125631551975425
user_36,light,0.822529290298433,1,0,1,1036336054851129344
user_37,light,0.31381260477341855,8,2,6,859187230904000512	890404513621954560	798978455526313984	859093896701386753	1054715525270388736	941004175399366662	1003306418219479040	880867451034054657
user_38,light,0.09243405538186727,1,0,1,1023664982242803712
user_39,light,0.3054445242012921,1,0,1,1065703969140412419
user_40,light,0.7020596264889786,8,5,3,1007351420360843265	1006281178482184192	906207871586766848	985584482622328837	888586524543078401	1050813715761618944	985439203289944064	1033086820391763968
user_41,moderate,0.9056712991221196,11,9,2,1009032454232068097	1019173869259755521	1004092279588438016	993877168257089536	893613846295982080	990044163776368640	789005177600614400	862653580993597440	906299170646093824	957866520100687872	860546067007291392
user_42,light,0.3006135888840941,8,2,6,1024429644064452608	911339125432864769	999741677379162114	832734686476505088	940993586748952578	924359775869161474	1059658923576184832	873896129641025536
user_43,light,0.8708340715230273,6,5,1,943586583097282560	969938732857126913	1016315317805514755	950378893160038400	881948598782631945	1036485452604133376
user_44,light,0.2659861993340347,5,1,4,848378510506942464	670075566301847553	1036719110048993280	890781470842920960	1052101234990243840
user_45,light,0.25017378043365945,1,0,1,950894277655220224
user_46,light,0.19260589110523907,3,0,3,994881830192066560	1018049629462593537	1026172895066812416
user_47,light,0.16165271175998386,5,0,5,866929991212294144	864242037352263680	896057887658618880	573518346362183681	840753909505261569
user_48,moderate,0.2606357214899967,11,2,9,966975204806348800	887522219928174592	1030119568075837444	1010491039218655232	858882345818107905	1029457342923001856	1037469154486317056	884353102954074112	984948362502987776	1044482221703335937	1037770037933867014
user_49,light,0.21658638048800105,9,1,8,860515379692527616	737185199633616897	851533478478917634	909837478777016320	920345046473367552	1036897394762375168	471115114578739200	913052690745380869	700933769960824832
user_50,light,0.31562181829663355,1,0,1,1061004820625195008
user_51,light,0.1619196896575576,9,1,8,1028429048949555200	546738116149526528	1045748719298269184	842240838772088833	1037437788625489920	860478963277111297	934843648046485504	1020973382118957056	902748761209921536
user_52,light,0.369364110748148,5,1,4,788647915694665728	778333001256083456	871839260432887811	1056928355013062657	964992719092355073
user_53,light,0.23986782248208907,4,0,4,493537210717585409	347046810822529024	1037124158927331329	961620007527616513
user_54,light,0.2888908570883571,10,2,8,1061515603876372480	941677449963823104	839863450109161474	741019840912207873	944951618491113472	745613176671080448	266371561815146496	869934956570652672	1036505354828500992	991873550863753216
user_55,moderate,0.8744371984329613,11,9,2,938889604626829313	957116146150465537	940998496865406976	1021062730164383745	919242413008289792	860099333546549250	897627546178793474	850378003175493634	1005251158372503553	1045342814664622080	859085814340255744
user_56,moderate,0.4,11,4,7,859195780615163904	939059580901969921	1014604010547040258	890572704704864256	1035737853622448128	1036890740264198144	1037167180822052865	955480929610248192	361573282962620416	758705583402856448	8350364925
user_57,light,0.6918089272180937,3,2,1,1043620490798161920	884993256173576192	1019162250152640512
user_58,light,0.18261086125105347,5,0,5,887082783570579461	864456641202315264	783138335464259584	1061462851527819265	1024998956252557312
user_59,light,0.12468564508828525,9,1,8,994935189812936704	624320407366033408	1039598984317157376	904532525405626368	852886163698233344	946365400845115394	592788331114684416	1035850553031573504	937561137935130624
user_60,moderate,0.32747236896095644,11,3,8,937389043276541952	921052587343990784	930015965370347522	1033159825046339584	744514969744609280	925018765200277504	278767006478630912	1025732337408069632	1020821632879874048	760495130021421056	1021410009349943296
user_61,light,0.8535762702294514,5,4,1,879955121807003648	950290572685783040	854197324490444800	1014354608972390400	1036338778342924288
user_62,light,0.7777429895964046,6,4,2,988987003114049537	624433364099973120	938238910219595776	941243970855809024	777343147189886976	1036607360733720576
user_63,light,0.05,1,0,1,286908315831762944
user_64,light,0.7720782736025785,1,0,1,669088033824706560
user_65,moderate,0.06362361262116381,11,0,11,982597953834668032	818421232257339392	1035855772884713472	662445181938098180	1037048080745607168	858388418673364993	973419078374313984	856130883019001856	1000308839403503616	1020976138934353921	688060511989141504
user_66,moderate,0.8731742010509836,13,11,2,983575218919653378	883425458464768000	866479928128061440	921017686909489152	900947282169745415	913963955923636225	906291026679226373	1012855929455423488	996396073416454144	915071177302851585	973636217643388934	623010264124821504	866769659260936192
user_67,light,0.3884085055774654,7,2,5,959598629706190855	1003761838109151232	1038185258590646272	899462191878983681	1043152506623287296	807294750583848960	1022882723327819777
user_68,moderate,0.10779996227285282,11,1,10,989461685927849984	1046469858530131968	1005619840353095680	532730206038269953	1016741943349596161	1052420884844212225	948918130721611777	1036293064128712704	929060323688054784	958799588688883714	835529498019921926
user_69,light,0.6650176284724871,9,5,4,861552616370610176	970806540843323393	1005137446928093186	868171411713437696	926060239639711744	1019274115918827520	766741035317944320	1060985582682337280	1039592198004568064
user_70,light,0.8231841130028253,4,3,1,977474379712929793	854033749239058434	984044074637279232	1034461415908814848
user_71,light,0.8553950614668697,9,7,2,1020098349230305280	1068945956564013058	966833396247908354	882662154154917888	927556044489928704	1009780513362579463	1065040255470919680	940628498921779200	986804097440518144
user_72,moderate,0.7161986101191833,14,10,4,1060976510469836807	443292732962770944	916425702156783616	1056750229536604161	1048255372375613440	869578771749150721	776004892850786304	949181508249620480	1021888536285470721	974000316659261443	1035291627135414275	1058654436489379840	964424082581172224	1037138411654504449
user_73,light,0.6302397489897713,7,4,3,867845246142488576	865993075855839232	1018317033056825344	920528703389622272	1054528828364574721	590226867191488512	839819663437627392
user_74,moderate,0.1352524424035259,14,1,13,920529483148546049	1036631621183709185	1019381878212743168	921705410280562690	802274621919793156	928558968141578240	825185043668688896	834776163012669445	605025601213186048	909535434182742017	966614435111624704	1037159647130599424	1034549746919243776	1059316330153865216
user_75,light,0.779098819299092,1,0,1,1035948876170182657
user_76,moderate,0.83758679685297,11,9,2,1028417138674094080	1021127158511611904	988404545628749824	1021046225326563329	1021229840903516166	1002087499014066176	1020353651070701568	932836101911347200	852244750174494720	906097911850827776	617398976896176128
user_77,light,0.8968852852663979,7,6,1,935598523499900928	1020085765831716864	1005209874895011840	1008667417147346944	955168137967673344	246664421361995776	644704892976656384
user_78,light,0.17749059947949658,6,1,5,879589244456640512	977922694929936384	955572255819554816	435076375142092800	912109487959527424	811304219055624198
user_79,light,0.8420128481471206,7,5,2,1000792331421798401	972269862885253120	1062718439276580864	879585479024398337	917953175428194304	1037004252105920512	1036776160821215232
user_80,light,0.2807928255912947,1,0,1,936419665143721984
user_81,light,0.7429455915178392,6,4,2,949045964949536769	1064983997611212800	864124919780524032	1018963949864259587	971511173056167936	991235801022427136
user_82,light,0.7602785123436384,9,6,3,879825466726789121	1030826304285892609	1020879513666940928	933582174862954496	927510014478209025	113832595816595456	600315477643112448	255505603345141760	669892777568661508
user_83,moderate,0.05,13,0,13,679534029394214912	983711992878788613	1023159816833904640	1016809898854608896	699736515430121472	875903228658851841	956604868143153152	1061054278251544577	813493763482025984	1036694737321910272	989282569807126529	797917294022127616	1014640325950779394
user_84,light,0.7685847554102087,4,3,1,1013167096182628353	949760452405297152	896787484398333953	1019722034778198019
user_85,light,0.2305988315430897,3,0,3,1059506560865579008	1046542096704958464	1060911015637016577
user_86,light,0.2615958063448448,4,1,3,1021759617897062400	40592345091014656	657440252227919872	1036774671109312512
user_87,moderate,0.2410089189388878,11,2,9,1021201858340184066	913507497717223424	40654583759896577	1051487259852181505	895290938842505216	744322588747370496	873833886844952577	961027338308694016	845075267920056320	1053087716483706887	869655613814456321
user_88,light,0.8136223518673853,9,7,2,937654044121796608	1056534943176814594	906125760183848960	976493416497451008	984846036287000578	1003301680878792704	971629376147279872	719475768502394880	957431573560819712
user_89,light,0.14448279386020768,4,0,4,893094921476997121	169742915306930177	297720093310341120	928838422738825216
user_90,light,0.13096441158069205,10,1,9,1007621940440420352	851461583607877633	889110912656957440	679535551238688768	1036530814870204417	835283172636024832	270633712872476673	1023603987218673664	920305235028934656	486645613946105856
user_91,light,0.17386186898127926,7,1,6,856318827214196736	870754157333970945	513964340072828930	868560116441907201	1015542707530264578	1036540289496674304	927171264489426944
user_92,moderate,0.6459283654110735,11,7,4,965385678354878465	879223094518349824	967014500552523776	1055934552789606400	964145327426203650	4061263017	788981147825008641	1036812407933476864	588817519575703553	225839147779235840	963174602372501507
user_93,light,0.7250998211082088,3,2,1,957678977514008576	874839632541880322	1025452156424519680
user_94,light,0.8533008521564751,5,4,1,1045067608553336832	956325373146378241	915077765644345344	866640489650556929	864580694772785156
user_95,light,0.2904790202800361,5,1,4,951832977884856320	1057698641433915392	1036376403904745475	86875076871454721	940344418002980864
user_96,light,0.1265110385097486,1,0,1,1045671715727192064
user_97,light,0.683008890096455,8,5,3,963587607216164864	899111520306696192	962695236102180865	921079328540110848	1001150152424468480	1060107541709905920	1049663113681936384	409513371193442304
user_98,light,0.28483723675486633,8,2,6,855261472544436224	989810663445839872	1036724392095571971	961973334182264832	958475025237073923	1035961566926176256	800024829671960576	988771690145636353
user_99,light,0.7883487832031776,7,5,2,976410123924070400	935953847838806017	1064896518832996355	459507880870563840	902741472314880000	904898381830598656	1059280419642724352
user_100,light,0.07557464906124307,6,0,6,851047066545664002	1032783538809184256	1035004245878218752	1036851540764643328	1020395837053194240	1034203154814914560
user_101,light,0.2563996586821113,1,0,1,1014348525184978946
user_102,light,0.8361328707949988,5,4,1,872404514170687489	885967875567218688	967601958239453184	1002170120553353216	765900848622821377
user_103,light,0.1861421990291491,5,0,5,1032743089214054401	983838717205995521	828955824848515076	505024274969919488	783773927742910464
user_104,light,0.3091945175554965,3,0,3,835158685697589248	1060918923330232323	1031238767796019202
user_105,light,0.05,6,0,6,1070044335129939969	960409786117275648	935937210335014912	1033450035042758656	992723782300299264	414951097388646402
user_106,light,0.7272019963545276,9,6,3,1024436402879115264	1021267441047896064	964084113111007233	983164336628817920	981780464846323717	940950699097116672	1008875329786728453	1058795617739329536	845421744794091520
user_107,moderate,0.1782100374261284,15,2,13,877816506658304000	1013266642837606400	959923516282830848	868952110024597505	705025096474357760	952621877582643200	672476220135731200	787989005157662720	1036694109745029126	1036732465149292547	1002299440563146754	1056275864856477696	1036747226226278402	647099689326653441	1036520207110553600
user_108,light,0.9214011931470626,8,7,1,909891970235060230	702071905382227969	1026613607289651201	1067864882836574209	876833009558749184	986804662039908352	953655634515365889	592822776664354818
user_109,light,0.1255065751653347,8,1,7,1039596069678710784	858012996852961283	959123655610466304	1036811937810718721	705096642584686592	783889594550935552	1036422513763344384	1043438419047849984
user_110,light,0.059595565904226405,7,0,7,1029078429713539072	1032343885224308736	948518693146910720	694253416248283136	997309389903138816	1036475807982600192	898176905396064257
user_111,light,0.8229561924372677,1,0,1,797819184767897601
user_112,light,0.18450117614724812,7,1,6,1022663078230614018	994635725873217537	940619075125788673	1051199839730630656	1057645719937519618	937104879939600385	995279693833277440
user_113,light,0.20580376052320196,7,1,6,993850068091449349	854016949516476416	1036678027961196545	1016577144888156160	903465558494076928	721308773537546240	1019714968202240000
user_114,moderate,0.203644101804516,18,3,15,1023246701749063681	872599326735966208	952315603154485248	567164152523673600	940205992004018176	1026647160211877888	1058690265991602177	1034941300364242944	1040675785479053312	729069313769021442	903860593580498944	674347451357249536	881758593640529920	676722511103590400	1024405062020472833	895139397104017410	684932409620566022	986865497839812609
user_115,light,0.9132177144770688,6,5,1,862459331698200576	1024156878832640000	1035544254083473408	982561099131301888	1064942736971837440	919722003241635840
user_116,light,0.6692480082436295,9,6,3,1020831879124144128	1021142105790398465	1003655531318276096	918751440155435013	965150744486776832	686894572786483200	958589693041545216	1002234613203456000	1036364839940018177
user_117,light,0.7839773985375333,7,5,2,1011271050514976768	972663692893409281	1023602659977322496	887062411278241792	961695151960788992	1051926587925520387	621893648561541120
user_118,light,0.95,1,0,1,1056178458248859650
user_119,moderate,0.7878206966650595,12,9,3,857356022372941824	1044207928851517440	979847346195443712	1017835156143591424	986437265013526528	986468777985363968	1021071620637642752	868240628265754624	963602270234562566	157608638847004673	1036900213561217024	957452254554083329
user_120,moderate,0.2621993545666679,11,2,9,1020879937601966080	984783837896069126	864941404111253504	818798852262297600	861883645316841473	642674576699322368	996696342360739841	908658747421143040	1037090515337048065	1037496072128659456	1014858586374230018
user_121,moderate,0.6460162693370057,11,7,4,1062652927016202241	1001699217625288705	928045826085130241	928426669802688512	192975533032734720	1055775309356810240	1006622040428892163	979274919862259713	1031579700584435715	1034066601119768576	988473837703614466
user_122,light,0.19030259459443344,2,0,2,1025644139742945280	618865022702383104
user_123,moderate,0.07188558658448532,13,0,13,1047160605013151744	1037466740710690818	883825581481226240	1054302445768228864	1036410483937427456	1000748782932213760	849799750362771456	986322064226172928	1035634617498390528	1031335508369203200	1034042352489455617	1026894500579471360	1026136084898607105
user_124,light,0.6722732268784606,1,0,1,716309086086762496
user_125,light,0.12850056975064555,10,1,9,785901390648320000	1015562896519127040	1036866282442768384	960611356746514432	1051602185740537856	1035673902964506624	967952357605724162	1040297893993885696	864599057997713408	836196020627329024
user_126,moderate,0.3308259908985709,17,5,12,380419169117679616	905657121852751872	977383393364267008	981841431089369088	993996484537475073	1057829814348976129	1011619265982574593	1051160959774003200	939431160156798976	699676355709898752	803284333129650176	1036323123157581824	829854420120772609	995254014634790912	698400894325559296	1037570800637759488	1065001015198576640
user_127,light,0.08737910403830094,2,0,2,1063041963052670978	1050543031399661568
user_128,light,0.6,4,2,2,973234252174319617	1003658939257556992	347791720563486720	607572055504986112
user_129,light,0.6320236673202679,7,4,3,992409692835074049	911557131253534725	950509995375939584	969276548778942464	619628162436202496	1015823207159484418	1035913831179014145
user_130,light,0.11769963872340139,4,0,4,942456437615165440	1035066393836670981	850896076051763201	895667968100581377
user_131,light,0.17954450295960678,1,0,1,1036858182252081153
user_132,light,0.698655873423732,7,4,3,1032573338965557248	918159045890138113	686284688793710592	960634922204585984	1027716649053507584	1047855167973076994	1032360591195824128
user_133,light,0.7929386230910592,2,1,1,1019620340568223744	939194946153861121
user_134,light,0.21657155976281742,9,1,8,895792247433609216	1035702530687217664	960060124684603392	903071808651481088	906977335706038272	286209769038049281	1012414508516732929	979100393148792832	905389370101903360
user_135,light,0.7132740653512314,2,1,1,17179945532	893201316037763073
user_136,moderate,0.8498446089035396,14,11,3,894651865891262464	875362510752235520	932759334639071232	959493145632411650	1017882010071674880	937598418993795072	1015069930532884480	1051696216214568960	852636001818165248	877666268953890816	988328450443235328	1036348517663551488	903246283862835200	1021795633248784384
user_137,light,0.30126310200400536,3,0,3,765904316968296448	1021015126034518016	1037465413179908106
user_138,light,0.929306138637414,5,4,1,159485155180945408	254165959215026176	1000054137357250561	978045336890544129	1033098468540198912
user_139,moderate,0.7954547099091234,11,8,3,1020074548752977920	1014947307807272960	973117359358701569	902296968952778752	738174286729351168	850050830745169920	1059301354185916416	996718360556584962	169519070310445056	975168876576112645	1037441782798270465
user_140,light,0.7691739322425569,1,0,1,1037517809184645121
user_141,light,0.8615196746630531,8,6,2,959237017388421120	987368990426193920	955623472536936449	931390980028358656	952903176226619392	968220094542336000	1016835103308201984	575146602119086080
user_142,moderate,0.24038897243235874,13,3,10,962506760018911237	1012323824690515969	683346305477902336	1036270856136220673	993938437991432193	1019078271298748416	1025177807817764864	1032203214446190592	1036302514247884801	1049823261373153280	1028734197463166978	650360666767912961	1036765612876464128
user_143,light,0.21147514978254162,1,0,1,1036029053948620801
user_144,light,0.95,8,7,1,1015045758461120514	466317875842940928	1021266555999432706	984896190377426944	497909357489979392	1062294411869147136	880807388445523969	845066419553296384
user_145,light,0.17092719276651952,8,1,7,861055730622885888	1018827679997612033	923434071979692032	1020875286630600704	1046724488057024513	1005605853901119488	1036587700709740544	1013810811289010176
user_146,moderate,0.7496178071171313,11,8,3,870188365219495936	951188726977368071	1022845944503529474	897810275793063945	871652617621037056	969121641828581376	904371974805356544	942830090714411009	1037051404060450816	12644874350	872214369396019202
user_147,light,0.6533698436986848,1,0,1,555749605007032320
user_148,light,0.13118184674720074,1,0,1,1041383935333289986
user_149,light,0.1787292617775823,10,1,9,961623328879333376	911690673698377728	913541631634284545	866525673006874624	802528815666737152	958719106756292608	1024043644825862145	1036701699094851587	177828020873199616	912227613472468995
user_150,light,0.12201306979684066,8,0,8,579079777165783040	1019302889225891840	974041949421391872	1037124471788691456	996012614365929472	941207858041049088	1016315301502373888	1055116262404227075
user_151,light,0.8397501105666938,8,6,2,998845979683008513	976280030014820354	1019624756985978880	459665213688532993	895261209582346240	997710485050023937	1058567054410711040	1017667353205755904
user_152,light,0.8335331392143095,9,7,2,844522572112838656	1021341288480878592	873358323181129728	1003361675779555329	858712076612755456	1022551930374119424	907028723811184640	923086429097463808	502219837146673152
user_153,light,0.10776832407684923,4,0,4,969087623112224768	535937596031893504	1037299903876218880	314447486649516033
user_154,light,0.20480172820505396,8,1,7,1023183159641419778	996637463128018944	910294895960711168	573724576045142016	968847961219305473	1048289698861314048	1039133504943149056	1052747780870033408
user_155,light,0.19922837021103676,8,1,7,974363635416993792	967609203463507968	781507354835689472	778316255698817026	1060153310676770816	962109893753868288	936501996533587968	876433460214235140
user_156,light,0.8059936757884273,3,2,1,895716346285006848	1004035298148352000	811299034379919360
user_157,moderate,0.2173276188700831,15,3,12,955225522618843136	905753849016745985	1067897303380430850	481808390457675776	858904415046164480	1043177788759580673	832284020956291072	942686083354992640	1035803465539362816	944264205062025217	1036624191141888001	828466783719931904	822462656040747009	980106621262188544	851858808905314305
user_158,light,0.8297857194438589,9,7,2,1073949635864076289	875171645954166784	1010208888501817344	1013860101067862017	925640867397931008	793524472305311744	1008746243210776579	929396653685166081	16072015324
user_159,light,0.07741212214052468,1,0,1,780178964518047744
user_160,light,0.2431658616133351,10,2,8,913052722240409600	884674301751963651	672148889236058113	922925180397109248	914822834257526785	850762969403314177	910054904508456960	931467000932634624	871701562963480576	1072410929193762817
user_161,light,0.8610731441577968,2,1,1,940151696814206977	745335053652156416
user_162,moderate,0.7626033609119824,11,8,3,902186321870979073	899504483498995712	876121350179606529	1061651205972246528	969032285667303424	874882356968132608	880626773553295360	1014138850841694209	1031203989071777792	481046055404855296	1022266727021924352
user_163,moderate,0.11999431355660481,12,1,11,935293272137793541	787841181849911296	968622695981244416	1012376569875058689	988215008080400385	327640319761977344	302206741704212482	708307071796682758	870713957018853378	1020216957818277888	830928503285522432	915719739716112386
user_164,light,0.6269464458206436,3,1,2,1018659153064157184	1042400890995527680	1020287090318340096
user_165,moderate,0.8227955168847246,11,9,2,951551426580307968	861609711669465089	1058178343718305794	440616554879672320	1011229610833428481	898594466491248640	948998081428836353	1021095691500900352	877123907899338752	834108060260061185	821892594456285184
user_166,light,0.7150450770544254,9,6,3,878382430498856960	867894272565096452	1013388379097092096	1017895766478737408	985787201681108992	966861189522243584	1028104764154945536	628045872664870912	928726157742161920
user_167,moderate,0.09224811448462565,11,1,10,913142704212766721	653569001629487104	1034674821643296768	1020919862485553152	947887845288677376	773930301445713920	1051343826755805189	850032198887424000	1046926411171291141	960350072075702272	938100762344816641
user_168,moderate,0.1985279961373552,15,2,13,889847999572180992	861611513693515777	1048316074616340480	835148816596729856	1037464420664991745	1035953308999929856	898262670301839360	831205792737026048	708730459392348160	864889373011169280	895285403225174016	1037172935415476225	970535834310053888	918304885715632129	679315204929290242
user_169,light,0.7750237210109451,6,4,2,906991935113404416	691809210263326720	950915686733434881	1011030793261547524	1034742394695155713	1057679041157910528
user_170,light,0.3220238702418138,3,0,3,832776435400060928	1057639900609048576	1041348309783273473
user_171,light,0.2611840885316399,3,0,3,938822202358628353	985964420764323840	414785407180496896
user_172,light,0.2042954071982533,3,0,3,864603541557608449	891977798197407744	962414894317522945
user_173,light,0.8025541443452611,7,5,2,944097050098061312	874112092961480704	852864571144413185	937027775457910784	1021254037323296768	1016622304560861184	1052110218228887552
user_174,light,0.26352253194416514,9,2,7,863575650568994816	1058144112971522048	1060993500760735746	729695480612048896	815417573395283968	896111853230637056	1036944231435317249	986993509835071488	939190945723150338
user_175,light,0.36451604515544334,8,2,6,1007698121814519808	1061761663010066432	872185481743671296	1033166409403166720	1039145883823046659	847250930865131521	1071440949035888645	701232780978442242
user_176,moderate,0.11966618449683276,11,1,10,1013859777405956096	247083738108923904	879273197404803072	1020268504069664768	827000723644768256	941320586311143424	1035744726673121280	1033125088164569089	858228394970025984	742237998943604736	1065636249875156993
user_177,light,0.95,7,6,1,916873088918200320	941473967306457088	864815304177623041	1003822397970178049	851354873971003392	954843056376811522	1033151741183832065
user_178,moderate,0.14345730147051278,13,1,12,855911874017325056	1012572298409365505	870965368587550720	23422797137055744	971373475754659841	818835345722707969	1029807996036149250	1051380607035629568	1034877869133099008	1007764587406610432	268701373271531520	996646655846965248	1057891769898164224
user_179,light,0.12653795420719038,6,0,6,1036989045841321985	1043176143694823425	1020236165767680002	1037124495755030528	893234272382988288	802615682710077441
user_180,moderate,0.9012570256780041,20,18,2,1012386923107643392	946157084567064576	986514956886642693	886302121431187456	935990756786962435	981931569207304195	971226997044236288	1011335870824230923	957686868182732800	904724029356990464	1070777288617267200	889455513175560192	973094076017868800	1020882773173710850	947994617760317440	908034098568077312	1013527707165052933	963054948232712193	464167933501915136	1007523122508124161
user_181,light,0.13323216398876908,10,1,9,993680673276821509	908749287290544128	1040073777248387072	261273596377313280	973408310803169280	1035741044409810944	1052282238996541440	1050822492099661825	723556225535860737	779841083702403072
user_182,light,0.7359854624556569,3,2,1,852211954097704960	970502480172810240	1057831985677328385
user_183,light,0.10143946007887132,2,0,2,997170903904645120	1047807513033396224
user_184,light,0.8457124629013323,9,7,2,883141081889742848	851206987417366531	904474694828646400	795299273676095488	942338428531769344	988974090944942080	969440816300285952	823314059994996736	1037427814012780546
user_185,light,0.16233493791023487,6,0,6,1008888495891472386	765778406222995457	1037464139176787969	886256315261210624	971149798706499584	1035557237781975041
user_186,moderate,0.8145621534728756,11,8,3,967006291225993216	920805111147905024	326726516195086336	859992254022168576	971030290004152320	894366510386356224	1002005240575651842	932941266328981505	937725301118963712	1008987104184012800	569640214559391745
user_187,light,0.6280722056820743,9,5,4,1028386520745631744	948316389772800002	863140537389293568	1014284713878433792	914874869040517120	699382175809085440	1025508894246952961	1037214108226080770	261801021632819200
user_188,light,0.7303120945928869,7,5,2,782015278087495681	946624932770959360	862328703698825217	963877780952961029	932667917610692608	1014831311230554112	897981371548917760
user_189,light,0.08761613468323984,3,0,3,376808096930091009	983486408789757954	256150291777454080
user_190,light,0.95,1,0,1,557962890083188736
user_191,light,0.79089416377255,5,3,2,1056576342899200002	1061737750561505281	872161169099902976	1022802269597777921	899686265200705536
user_192,moderate,0.15614765229932825,11,1,10,851248298748981248	915766309584912384	529511663649558528	1037414146768130048	901976191539716096	931256367813361667	1009852206458261504	879838806903586816	1034464680931209221	960651479177678849	1036778203296264192
user_193,light,0.8397283766749916,8,6,2,960219051955048448	936701021304377345	998032069379833856	593459961595736064	903025743017455617	736372197090942976	1060361165971357696	867196235651760128
user_194,light,0.2539855494039351,1,0,1,852873245711900673
